REEF,LOCATION_NAME
Barren,BARRFL1
Barren,BARRSL1
Bedarra,BDRAFL1
Bedarra,BDRASL1
Palms West,CBFL2
Palms West,CBFL4
Palms West,CBSL2
Palms West,CBSL4
Daydream,DAYFL1
Daydream,DAYSL1
Double Cone,DBLCFL1
Double Cone,DBLCSL1
Dent,DNTFL1
Dent,DNTSL1
Dunk North,DUNKFL1
Dunk North,DUNKSL1
Fitzroy West,FITZFL2
Fitzroy West,FITZSL2
Franklands West,FRNKFL2
Franklands West,FRNKSL2
Magnetic,GBFL3
Magnetic,GBMMPFL
Magnetic,GBMMPSL
Magnetic,GBSL3
Green,GREFL1
Green,GRESL1
Keppels South,HALFL1
Keppels South,HALSL1
Havannah,HAVFL1
Havannah,HAVSL1
Havannah North,HAVSL2
Hayman,HAYFL1
Hayman,HAYSL1
High West,HIGHFL2
High West,HIGHSL2
Hook,HOOKFL1
Hook,HOOKSL1
Keppels South,HUMPFL1
Keppels South,HUMPSL1
North Keppel,KEPFL1
North Keppel,KEPSL1
Lady Elliot,LELLFL1
Lady Elliot,LELLSL1
Low Isles,LOWFL1
Low Isles,LOWSL1
Barnards,NBARFL1
Barnards,NBARSL1
Palms East,NEFL1
Palms East,NESL1
North Keppel,NKEPPFL1
North Keppel,NKEPPSL1
Pandora,PANFL1
Pandora,PANSL1
Pandora North,PANSL2
Peak,PEAKFL1
Peak,PEAKSL1
Pelican,PELFL1
Pelican,PELSL1
Pine,PINEFL1
Pine,PINESL1
Palms West,PIFL1
Palms West,PISL1
Seaforth,SEAFFL1
Seaforth,SEAFSL1
Shute Harbour,SHTANFL1
Shute Harbour,SHTANSL1
Snapper North,SNAPISFL1
Snapper North,SNAPISSL1
